label,text
spam,Win money now
spam,Claim free reward
spam,Click this link to earn cash
spam,Congratulations you won lottery
spam,Get free recharge now
spam,Limited offer click here
spam,You have won free iPhone
spam,Earn money fast
spam,Free vacation available
spam,Claim your prize immediately
ham,Hello how are you
ham,Let's meet tomorrow
ham,Project submission tomorrow
ham,Can we talk later
ham,Meeting at 5 PM
ham,Please send notes
ham,Assignment due tomorrow
ham,Happy birthday friend
ham,Call me when free
ham,Dinner tonight?